Diamine Imperial Purple,(Diamine )?imperial purple,http://i.imgur.com/HCAXSoL.jpg
Visconti Sepia,visconti sepia,http://i.imgur.com/bcPfo7O.jpg
Pilot Iroshizuku Take-Sumi,(pilot )?(iroshizuku )?Take( )?(-)?sumi,http://i.imgur.com/uFqSnLh.jpg
Diamine Shimmertastic Blue Pearl,(Diamine )?(Shimmertastic )?blue pearl,http://i.imgur.com/Tgmmo4h.jpg
Aurora Black,aurora black,http://i.imgur.com/Gw0bxL8.jpg
Diamine Matador,(Diamine )?matador,http://i.imgur.com/Nulnxkw.jpg
Diamine Peach Haze,(Diamine )?peach haze,http://i.imgur.com/uUi24Vf.jpg
Chesterfield Antique Jade,Chesterfield Antique Jade,http://i.imgur.com/d02ChI5.jpg
Private Reserve Buttercup,(PR |private reserve )?buttercup,http://i.imgur.com/9e8mwCe.jpg
Diamine Golden Brown,diamine golden brown,http://i.imgur.com/leZa5tz.jpg
Pilot Iroshizuku Kosumosu,(pilot )?(iroshizuku )?kosumosu,http://i.imgur.com/tTKrYV1.jpg
Stipula Sepia,stipula sepia,http://i.imgur.com/N5luQHQ.jpg
Chesterfield Teal,Chesterfield Teal,http://i.imgur.com/5NFNt67.jpg
Sailor Storia Dancer Pink,(sailor )?(storia )?dancer pink,http://i.imgur.com/hjOz9I2.jpg
Levenger Greystoke,levenger gr(a|e)ystroke,http://i.imgur.com/GidLngs.jpg
Sailor BungBox Fuji Blue,(sailor )?(bung( )?(-)?box )?(bb )?fuji blue,http://i.imgur.com/8ntzWoj.jpg
Sailor Jentle Tokiwa Matsu,(sailor )?(jentle )?Tokiwa ?-?matsu,http://i.imgur.com/eXNthWk.jpg
KWZ Ink Iron Gall Gold,KWZ(I)? (Ink )?(IG|iron gall )gold,http://i.imgur.com/6htq0vP.jpg
Kaweco Palm Green,Kaweco Palm Green,http://i.imgur.com/PVHhMSD.jpg
Diamine Onyx Black,Diamine onyx( black)?,http://i.imgur.com/FFzXKGZ.jpg
De Atramentis Petrol,(De ?Atramentis |DA )?petrol,http://i.imgur.com/K8o2o9G.jpg
Noodler's Kung-Te-Cheng,(Noodler(')?s )?kung te ch(e|u)ng,http://i.imgur.com/77JToQ5.jpg
Sailor Jentle Sky High,(sailor )?(jentle )?sky high,http://i.imgur.com/3tQyOrV.jpg
Levenger Pinkly,Levenger Pinkly,http://i.imgur.com/l04xrEY.jpg
Sailor Maruzen Athena Black,(Sailor )?Maruzen Athena black,http://i.imgur.com/onwPoZS.jpg
Noodler's Sequoia,(Noodler(')?s )?Sequoia,http://i.imgur.com/JRJa1tW.jpg
Private Reserve Tropical Blue,(PR |private reserve )?tropical blue,http://i.imgur.com/UgYZIOI.jpg
Lamy Turquoise,lamy turquoise,http://i.imgur.com/MPmS9GO.jpg
Robert Oster Signature Tranquility,(Robert )?(Oster |RO )(Signature )?tranquility,http://i.imgur.com/Y4gcGIS.jpg
Sailor Jentle Fuji-Musume,(sailor )?(jentle )?fuji-? ?musume,http://i.imgur.com/8jjGxUp.jpg
Omas Green,omas green,http://i.imgur.com/g80nSes.jpg
Noodler's Yellow,Noodler(')?s yellow,http://i.imgur.com/CUqevkS.jpg
P.W. Akkerman #21 ChinaTown Red,(PW |P.W. |P W )?Akkerman (#21 |China( )?town red),http://i.imgur.com/n1oFHBy.jpg
Sailor Jentle Yama-dori,(sailor )?(jentle )?yama( )?(-)?dori,http://i.imgur.com/nWwb8lI.jpg
J Herbin Perle Noir,(J?.? ?Herbin )?perle noir,http://i.imgur.com/yb7oqQ5.jpg
Noodler's Cayenne,(Noodler(')?s )?cayenne,http://i.imgur.com/HnxUIUA.jpg
Private Reserve Copper Burst,(PR |private reserve )?copper burst,http://i.imgur.com/qlYSaMI.jpg
Noodler's Berning Red,(Noodler(')?s )?berning red,http://i.imgur.com/8zsyMGF.jpg
De Atramentis Indigo Blue,(De ?Atramentis |DA )?indigo blue,http://i.imgur.com/JDv5LxS.jpg
Diamine Jade Green,diamine jade green,http://i.imgur.com/TpekLSX.jpg
Pelikan Edelstein Mandarin,(pelikan )?(edelstein )?mandarin,http://i.imgur.com/e27FrHY.jpg
De Atramentis Jane Austen,(De ?Atramentis |DA )Jane Austen,http://i.imgur.com/nAC36gi.jpg
Noodler's Bad Blue Heron,(Noodler(')?s )?(Bad blue heron|bbh),http://i.imgur.com/tbaSKbz.jpg
Diamine Shimmertastic Purple Pazazz,(Diamine )?(Shimmertastic )?purple pazazz,http://i.imgur.com/zb1sKhh.jpg
J Herbin 1670 Emerald of Chivor,(J?.? ?Herbin )?(1670 )?(eoc|emerald of chivor),http://i.imgur.com/eEZYuNZ.jpg
Diamine Syrah,(Diamine )?syrah,http://i.imgur.com/lIFyhPc.jpg
Montblanc Oyster Grey,(Mont ?blanc |MB )oyster grey,http://i.imgur.com/Btl3sT4.jpg
Sailor BungBox L'Amant,(sailor )?(bung( )?(-)?box )?(bb )?l'amant,http://i.imgur.com/9R7Ahtc.jpg
Private Reserve Gray Flannel,(PR |private reserve )?gray flannel,http://i.imgur.com/oYVKpD6.jpg
Parker Penman Sapphire,(parker )?(pps|penman sapphire),http://i.imgur.com/ac3xHnv.jpg
Noodler's Shah's Rose,(Noodler(')?s )Shah'?s Rose,http://i.imgur.com/XRhGzrb.jpg
Sailor Jentle Doyou,(sailor )?(jentle )?doyou,http://i.imgur.com/MCL2aGr.jpg
Pilot Iroshizuku Syo-ro,(pilot )?(iroshizuku )?syo( )?(-)?ro,http://i.imgur.com/pNYiex7.jpg
Sailor BungBox Tangerine,(sailor )?(bung( )?(-)?box )?(bb )?tangerine,http://i.imgur.com/Fq68uLP.jpg
Diamine Ancient Copper,(Diamine )?Ancient copper,http://i.imgur.com/xrusJuV.jpg
Sheaffer Skrip Lavender,(sheaffer )?(skrip )?Lavender,http://i.imgur.com/hNVtNlp.jpg
J. Herbin Vert Empire,(J?.? ?Herbin )?Vert Empire,http://i.imgur.com/wv1C1um.jpg
De Atramentis Khaki,(De ?Atramentis |DA )khaki,http://i.imgur.com/T6wdpLO.jpg
Diamine Shimmertastic Golden Sands,(Diamine )?(Shimmertastic )?golden sands,http://i.imgur.com/NuiaWGT.jpg
Sailor BungBox Omaezaki Sunset,(sailor )?(bung( )?(-)?box )?(bb )?Omaezaki sunset,http://i.imgur.com/fEjkaWq.jpg
De Atramentis Lilac,(De ?Atramentis |DA )lilac,http://i.imgur.com/Dj5naMZ.jpg
Diamine Red Dragon,(Diamine )?red dragon,http://i.imgur.com/yaxe190.jpg
Diamine Mediterranean Blue,(Diamine )?Mediterranean Blue,http://i.imgur.com/ubYYrFA.jpg
Organics Studio Join or Die,(O(.)?S(.)? |Organic(')?(s)? Studio(')?(s)? )join or die,http://i.imgur.com/7NPbgSz.jpg
Pelikan Edelstein Jade,(pelikan )?(edelstein )?jade,http://i.imgur.com/7DY2VD0.jpg
Noodler's Rachmaninoff,(Noodler(')?s )?rachmaninoff,http://i.imgur.com/AEWl495.jpg
Levenger True Teal,Levenger true teal,http://i.imgur.com/wA9IYEA.jpg
Diamine Shimmertastic Shimmering Seas,(Diamine )?(Shimmertastic )?shimmering seas,http://i.imgur.com/xmt9EK9.jpg
